,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
EWT_IJH,VAR,10.0,"              EWT_rtn   IJH_rtn
const        0.000305  0.000423
L1.EWT_rtn   0.033666  0.058512
L1.IJH_rtn  -0.201619 -0.093640
L2.EWT_rtn  -0.054613 -0.013173
L2.IJH_rtn   0.027673 -0.016302
L3.EWT_rtn   0.035390  0.028303
L3.IJH_rtn  -0.027385 -0.036040
L4.EWT_rtn  -0.025389  0.030199
L4.IJH_rtn  -0.021607 -0.057406
L5.EWT_rtn  -0.051136 -0.024596
L5.IJH_rtn  -0.020525 -0.029243
L6.EWT_rtn  -0.020136  0.003155
L6.IJH_rtn  -0.001768 -0.000472
L7.EWT_rtn  -0.010484 -0.002007
L7.IJH_rtn  -0.008922 -0.003796
L8.EWT_rtn  -0.079655 -0.075430
L8.IJH_rtn   0.118075  0.088432
L9.EWT_rtn   0.087868  0.062823
L9.IJH_rtn  -0.131335 -0.068621
L10.EWT_rtn  0.007749 -0.014112
L10.IJH_rtn  0.063867  0.076121",,,,,,
EWT_IJJ,VAR,10.0,"              EWT_rtn   IJJ_rtn
const        0.000299  0.000398
L1.EWT_rtn   0.028250  0.060318
L1.IJJ_rtn  -0.190721 -0.114781
L2.EWT_rtn  -0.049928 -0.011273
L2.IJJ_rtn   0.016438 -0.021604
L3.EWT_rtn   0.028497  0.020841
L3.IJJ_rtn  -0.013006 -0.019841
L4.EWT_rtn  -0.029859  0.028109
L4.IJJ_rtn  -0.017150 -0.053406
L5.EWT_rtn  -0.043285 -0.023366
L5.IJJ_rtn  -0.034601 -0.033903
L6.EWT_rtn  -0.020049  0.007001
L6.IJJ_rtn  -0.000467  0.003395
L7.EWT_rtn  -0.010620  0.001289
L7.IJJ_rtn  -0.007711 -0.005933
L8.EWT_rtn  -0.078219 -0.072532
L8.IJJ_rtn   0.115221  0.085538
L9.EWT_rtn   0.082608  0.060915
L9.IJJ_rtn  -0.118061 -0.061743
L10.EWT_rtn  0.011888 -0.007921
L10.IJJ_rtn  0.051954  0.067963",,,,,,
EWT_IVE,VAR,10.0,"              EWT_rtn   IVE_rtn
const        0.000295  0.000284
L1.EWT_rtn   0.049014  0.051590
L1.IVE_rtn  -0.249356 -0.128480
L2.EWT_rtn  -0.034454 -0.011328
L2.IVE_rtn  -0.004560 -0.030052
L3.EWT_rtn   0.000017  0.008429
L3.IVE_rtn   0.031345 -0.005219
L4.EWT_rtn  -0.010020  0.027882
L4.IVE_rtn  -0.057194 -0.047738
L5.EWT_rtn  -0.045565 -0.019186
L5.IVE_rtn  -0.036369 -0.042079
L6.EWT_rtn   0.002370  0.021307
L6.IVE_rtn  -0.038138 -0.024399
L7.EWT_rtn  -0.013716  0.000475
L7.IVE_rtn  -0.003947 -0.007747
L8.EWT_rtn  -0.074860 -0.041237
L8.IVE_rtn   0.120819  0.046139
L9.EWT_rtn   0.082419  0.072168
L9.IVE_rtn  -0.126351 -0.098872
L10.EWT_rtn  0.020375  0.006357
L10.IVE_rtn  0.038170  0.056075",,,,,,
EWT_IVV,VAR,10.0,"              EWT_rtn   IVV_rtn
const        0.000320  0.000349
L1.EWT_rtn   0.067853  0.063056
L1.IVV_rtn  -0.294204 -0.153776
L2.EWT_rtn  -0.032331 -0.006537
L2.IVV_rtn  -0.006975 -0.048640
L3.EWT_rtn  -0.000173  0.004991
L3.IVV_rtn   0.028045  0.002138
L4.EWT_rtn  -0.008329  0.029010
L4.IVV_rtn  -0.060302 -0.056257
L5.EWT_rtn  -0.048020 -0.022775
L5.IVV_rtn  -0.031012 -0.028912
L6.EWT_rtn  -0.005820  0.003316
L6.IVV_rtn  -0.024760 -0.001962
L7.EWT_rtn  -0.014672  0.007353
L7.IVV_rtn  -0.003242 -0.030631
L8.EWT_rtn  -0.075720 -0.050585
L8.IVV_rtn   0.121367  0.062006
L9.EWT_rtn   0.089652  0.078123
L9.IVV_rtn  -0.146427 -0.112659
L10.EWT_rtn  0.024284  0.006366
L10.IVV_rtn  0.036865  0.048149",,,,,,
EWT_IWB,VAR,10.0,"              EWT_rtn   IWB_rtn
const        0.000320  0.000351
L1.EWT_rtn   0.063241  0.064812
L1.IWB_rtn  -0.284113 -0.143255
L2.EWT_rtn  -0.018135  0.001748
L2.IWB_rtn  -0.028994 -0.055499
L3.EWT_rtn  -0.010944 -0.003478
L3.IWB_rtn   0.051164  0.020348
L4.EWT_rtn  -0.007875  0.032591
L4.IWB_rtn  -0.061190 -0.065244
L5.EWT_rtn  -0.053375 -0.028020
L5.IWB_rtn  -0.023338 -0.019653
L6.EWT_rtn  -0.001232  0.013129
L6.IWB_rtn  -0.028543 -0.021455
L7.EWT_rtn  -0.014605 -0.002802
L7.IWB_rtn  -0.007173 -0.012749
L8.EWT_rtn  -0.079135 -0.049449
L8.IWB_rtn   0.127661  0.061080
L9.EWT_rtn   0.098168  0.079049
L9.IWB_rtn  -0.163516 -0.108094
L10.EWT_rtn  0.020821  0.008638
L10.IWB_rtn  0.047155  0.044504",,,,,,
EWT_IWV,VAR,10.0,"              EWT_rtn   IWV_rtn
const        0.000318  0.000360
L1.EWT_rtn   0.058225  0.069266
L1.IWV_rtn  -0.266686 -0.155476
L2.EWT_rtn  -0.031681 -0.009085
L2.IWV_rtn  -0.009711 -0.036124
L3.EWT_rtn  -0.004259  0.008135
L3.IWV_rtn   0.038042  0.001187
L4.EWT_rtn  -0.002597  0.025245
L4.IWV_rtn  -0.068402 -0.056148
L5.EWT_rtn  -0.051925 -0.021784
L5.IWV_rtn  -0.024973 -0.031774
L6.EWT_rtn  -0.013341 -0.002979
L6.IWV_rtn  -0.010912  0.006465
L7.EWT_rtn  -0.004878  0.015976
L7.IWV_rtn  -0.023952 -0.039219
L8.EWT_rtn  -0.076917 -0.048783
L8.IWV_rtn   0.124551  0.059398
L9.EWT_rtn   0.097595  0.066159
L9.IWV_rtn  -0.159061 -0.096828
L10.EWT_rtn  0.016867  0.002033
L10.IWV_rtn  0.046628  0.051811",,,,,,
EZU_THD,VAR,3.0,"             EZU_rtn   THD_rtn
const      -0.000006  0.000383
L1.EZU_rtn -0.052988 -0.085449
L1.THD_rtn -0.059159 -0.055827
L2.EZU_rtn -0.035699  0.027434
L2.THD_rtn -0.011488 -0.035658
L3.EZU_rtn  0.002320  0.059341
L3.THD_rtn -0.024287 -0.026538",,,,,,
IDU_IVV,VAR,10.0,"              IDU_rtn   IVV_rtn
const        0.000281  0.000355
L1.IDU_rtn  -0.056756 -0.056104
L1.IVV_rtn  -0.029611 -0.053690
L2.IDU_rtn  -0.043773 -0.070384
L2.IVV_rtn  -0.017336 -0.015663
L3.IDU_rtn   0.009502  0.053487
L3.IVV_rtn   0.006119 -0.026715
L4.IDU_rtn   0.026548 -0.028747
L4.IVV_rtn  -0.029690 -0.010202
L5.IDU_rtn  -0.028873 -0.044655
L5.IVV_rtn  -0.011031 -0.029401
L6.IDU_rtn   0.018770  0.013692
L6.IVV_rtn  -0.002142 -0.003323
L7.IDU_rtn  -0.018260 -0.023619
L7.IVV_rtn  -0.056319 -0.011397
L8.IDU_rtn   0.029862  0.021113
L8.IVV_rtn  -0.002527 -0.009540
L9.IDU_rtn  -0.095897 -0.064071
L9.IVV_rtn   0.044335  0.020062
L10.IDU_rtn -0.045150 -0.051344
L10.IVV_rtn  0.044633  0.081413",,,,,,
IEV_THD,VAR,3.0,"             IEV_rtn   THD_rtn
const       0.000023  0.000382
L1.IEV_rtn -0.047380 -0.103728
L1.THD_rtn -0.058064 -0.049351
L2.IEV_rtn -0.063543  0.015322
L2.THD_rtn  0.010819 -0.025709
L3.IEV_rtn  0.020088  0.086151
L3.THD_rtn -0.029547 -0.039869",,,,,,
IFGL_IHE,VAR,9.0,"             IFGL_rtn   IHE_rtn
const       -0.000026  0.000630
L1.IFGL_rtn -0.044937 -0.032734
L1.IHE_rtn  -0.070650  0.005186
L2.IFGL_rtn  0.055559  0.009417
L2.IHE_rtn  -0.099805 -0.084468
L3.IFGL_rtn  0.010544  0.017834
L3.IHE_rtn   0.037090  0.028806
L4.IFGL_rtn  0.017712  0.020903
L4.IHE_rtn  -0.031235 -0.038013
L5.IFGL_rtn -0.059338 -0.038360
L5.IHE_rtn   0.023711  0.000735
L6.IFGL_rtn -0.032923  0.003059
L6.IHE_rtn   0.015781  0.004176
L7.IFGL_rtn -0.017171 -0.002899
L7.IHE_rtn  -0.061370 -0.018175
L8.IFGL_rtn  0.017668  0.037780
L8.IHE_rtn   0.012157 -0.040860
L9.IFGL_rtn  0.054722  0.059837
L9.IHE_rtn  -0.050122 -0.111279",,,,,,
IFGL_IWM,VECM,,,1.0,1.0,"[[-0.00041313]
 [-0.00073467]]","[[ 1.        ]
 [10.50886422]]","[[-0.09760814  0.00976565]
 [-0.08527347 -0.01834139]]","[[1.92743555e-01 1.66149229e-04]
 [3.80084491e-01 3.03138696e-04]]"
IGM_IHI,VECM,,,1.0,1.0,"[[-0.00344034]
 [ 0.001725  ]]","[[ 1.        ]
 [-4.51025038]]","[[ 0.04477483 -0.32558881]
 [ 0.00633404 -0.0492888 ]]","[[ 3.09866517e-02  3.49128046e-05]
 [-1.75058243e-02 -8.99466465e-07]]"
IHE_ACWI,VAR,2.0,"              IHE_rtn  ACWI_rtn
const        0.000630  0.000276
L1.IHE_rtn  -0.021412 -0.070897
L1.ACWI_rtn -0.006808 -0.032225
L2.IHE_rtn  -0.097352 -0.119959
L2.ACWI_rtn  0.025541  0.035287",,,,,,
IHE_ACWX,VAR,2.0,"              IHE_rtn  ACWX_rtn
const        0.000637  0.000154
L1.IHE_rtn  -0.037799 -0.124102
L1.ACWX_rtn  0.012132 -0.005744
L2.IHE_rtn  -0.087881 -0.126295
L2.ACWX_rtn  0.015733  0.031632",,,,,,
IHE_SCZ,VAR,4.0,"             IHE_rtn   SCZ_rtn
const       0.000593  0.000256
L1.IHE_rtn -0.006228 -0.061276
L1.SCZ_rtn -0.016080 -0.074155
L2.IHE_rtn -0.148354 -0.156743
L2.SCZ_rtn  0.090279  0.145724
L3.IHE_rtn  0.059949  0.061267
L3.SCZ_rtn -0.013594 -0.050852
L4.IHE_rtn -0.037729 -0.010302
L4.SCZ_rtn  0.014167 -0.039331",,,,,,
IHE_TOK,VAR,4.0,"             IHE_rtn   TOK_rtn
const       0.000574  0.000167
L1.IHE_rtn -0.034226  0.160967
L1.TOK_rtn  0.018738 -0.120023
L2.IHE_rtn -0.093365 -0.097259
L2.TOK_rtn  0.022657 -0.006714
L3.IHE_rtn  0.054049  0.028826
L3.TOK_rtn -0.022790 -0.050370
L4.IHE_rtn -0.004548  0.052396
L4.TOK_rtn -0.021210 -0.095318",,,,,,
IHE_WOOD,VAR,3.0,"              IHE_rtn  WOOD_rtn
const        0.000629  0.000262
L1.IHE_rtn  -0.016233  0.011071
L1.WOOD_rtn -0.006940 -0.033104
L2.IHE_rtn  -0.113248 -0.162518
L2.WOOD_rtn  0.044920  0.065077
L3.IHE_rtn   0.031197  0.072660
L3.WOOD_rtn  0.010677 -0.035084",,,,,,
IHF_ILCB,VAR,5.0,"              IHF_rtn  ILCB_rtn
const        0.000461  0.000384
L1.IHF_rtn  -0.031446 -0.030016
L1.ILCB_rtn  0.031688 -0.060785
L2.IHF_rtn   0.018128  0.010959
L2.ILCB_rtn -0.054829 -0.051794
L3.IHF_rtn  -0.004127  0.001696
L3.ILCB_rtn  0.064709  0.026720
L4.IHF_rtn  -0.036060  0.003848
L4.ILCB_rtn  0.034714 -0.031628
L5.IHF_rtn   0.007598 -0.028561
L5.ILCB_rtn -0.061950 -0.016608",,,,,,
IHF_ILCG,VAR,3.0,"              IHF_rtn  ILCG_rtn
const        0.000440  0.000395
L1.IHF_rtn  -0.044280 -0.054606
L1.ILCG_rtn  0.049075 -0.014310
L2.IHF_rtn   0.012311  0.013826
L2.ILCG_rtn -0.046267 -0.073857
L3.IHF_rtn   0.010568 -0.018952
L3.ILCG_rtn  0.044225  0.033529",,,,,,
IHF_IUSG,VAR,1.0,"              IHF_rtn  IUSG_rtn
const        0.000445  0.000373
L1.IHF_rtn  -0.055844 -0.059830
L1.IUSG_rtn  0.063387 -0.005317",,,,,,
IHF_IVW,VAR,2.0,"             IHF_rtn   IVW_rtn
const       0.000455  0.000399
L1.IHF_rtn -0.048334 -0.050064
L1.IVW_rtn  0.055056 -0.048966
L2.IHF_rtn  0.027159  0.022040
L2.IVW_rtn -0.069944 -0.076560",,,,,,
IHF_IXN,VAR,4.0,"             IHF_rtn   IXN_rtn
const       0.000443  0.000430
L1.IHF_rtn -0.046954 -0.079144
L1.IXN_rtn  0.054455  0.021342
L2.IHF_rtn  0.002888  0.028395
L2.IXN_rtn -0.031453 -0.067761
L3.IHF_rtn  0.019412 -0.021458
L3.IXN_rtn  0.029528  0.030740
L4.IHF_rtn -0.038798 -0.013664
L4.IXN_rtn  0.037149 -0.022281",,,,,,
IJH_ACWI,VAR,10.0,"               IJH_rtn  ACWI_rtn
const         0.000380  0.000095
L1.IJH_rtn   -0.089131 -0.006932
L1.ACWI_rtn   0.040144 -0.072695
L2.IJH_rtn   -0.042274  0.009757
L2.ACWI_rtn   0.011973 -0.058515
L3.IJH_rtn   -0.111059 -0.085307
L3.ACWI_rtn   0.117650  0.076506
L4.IJH_rtn   -0.039725 -0.040839
L4.ACWI_rtn   0.002575  0.017100
L5.IJH_rtn    0.070747  0.113576
L5.ACWI_rtn  -0.147835 -0.164442
L6.IJH_rtn    0.009402  0.077146
L6.ACWI_rtn   0.006703 -0.070509
L7.IJH_rtn    0.023271  0.009571
L7.ACWI_rtn  -0.035044 -0.030778
L8.IJH_rtn    0.107287  0.035076
L8.ACWI_rtn  -0.089822 -0.011511
L9.IJH_rtn    0.166534  0.097740
L9.ACWI_rtn  -0.185586 -0.124938
L10.IJH_rtn   0.241964  0.229753
L10.ACWI_rtn -0.210764 -0.211983",,,,,,
IJH_TOK,VAR,10.0,"              IJH_rtn   TOK_rtn
const        0.000426 -0.000023
L1.IJH_rtn  -0.135204  0.412629
L1.TOK_rtn   0.116432 -0.388527
L2.IJH_rtn  -0.092789  0.118406
L2.TOK_rtn   0.064254 -0.175502
L3.IJH_rtn   0.041775  0.065777
L3.TOK_rtn  -0.076651 -0.118410
L4.IJH_rtn   0.013151  0.046636
L4.TOK_rtn  -0.052764 -0.099853
L5.IJH_rtn  -0.086750  0.001089
L5.TOK_rtn   0.053274  0.019168
L6.IJH_rtn   0.019721  0.058146
L6.TOK_rtn  -0.033975 -0.069185
L7.IJH_rtn   0.057507  0.083002
L7.TOK_rtn  -0.084493 -0.118867
L8.IJH_rtn   0.091335  0.078619
L8.TOK_rtn  -0.052422 -0.040452
L9.IJH_rtn   0.076928  0.013355
L9.TOK_rtn  -0.091631 -0.051871
L10.IJH_rtn  0.190945  0.107987
L10.TOK_rtn -0.180740 -0.109666",,,,,,
IJH_WOOD,VAR,10.0,"               IJH_rtn  WOOD_rtn
const         0.000553  0.000215
L1.IJH_rtn   -0.065760  0.243194
L1.WOOD_rtn   0.014735 -0.215239
L2.IJH_rtn   -0.175260 -0.154101
L2.WOOD_rtn   0.140629  0.107217
L3.IJH_rtn   -0.090636 -0.094427
L3.WOOD_rtn   0.080198  0.071610
L4.IJH_rtn   -0.127774 -0.133239
L4.WOOD_rtn   0.082806  0.099258
L5.IJH_rtn   -0.024818 -0.056086
L5.WOOD_rtn  -0.041919  0.034695
L6.IJH_rtn    0.013922  0.002064
L6.WOOD_rtn   0.006155  0.034501
L7.IJH_rtn   -0.061256 -0.037132
L7.WOOD_rtn   0.046988  0.036906
L8.IJH_rtn    0.044543 -0.049959
L8.WOOD_rtn  -0.021272  0.072968
L9.IJH_rtn    0.083275  0.125731
L9.WOOD_rtn  -0.086042 -0.122609
L10.IJH_rtn   0.181378  0.200416
L10.WOOD_rtn -0.124914 -0.131371",,,,,,
