,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
IJJ_ACWI,VAR,10.0,"               IJJ_rtn  ACWI_rtn
const         0.000401  0.000138
L1.IJJ_rtn   -0.133215 -0.011518
L1.ACWI_rtn   0.064179 -0.067928
L2.IJJ_rtn   -0.059625 -0.008118
L2.ACWI_rtn   0.024631 -0.041794
L3.IJJ_rtn   -0.081462 -0.088962
L3.ACWI_rtn   0.097088  0.083240
L4.IJJ_rtn   -0.071888 -0.072496
L4.ACWI_rtn   0.040573  0.049433
L5.IJJ_rtn    0.066706  0.084786
L5.ACWI_rtn  -0.147562 -0.138043
L6.IJJ_rtn    0.005921  0.069851
L6.ACWI_rtn   0.023883 -0.061974
L7.IJJ_rtn    0.023711  0.007587
L7.ACWI_rtn  -0.036927 -0.026119
L8.IJJ_rtn    0.102606  0.040642
L8.ACWI_rtn  -0.085314 -0.016933
L9.IJJ_rtn    0.164062  0.098974
L9.ACWI_rtn  -0.186263 -0.129048
L10.IJJ_rtn   0.205360  0.186779
L10.ACWI_rtn -0.173355 -0.175027",,,,,,
IMCV_IWM,VAR,5.0,"             IMCV_rtn   IWM_rtn
const        0.000362  0.000431
L1.IMCV_rtn -0.172167 -0.021656
L1.IWM_rtn   0.150150 -0.061929
L2.IMCV_rtn -0.027074  0.083084
L2.IWM_rtn   0.001756 -0.089370
L3.IMCV_rtn -0.055341  0.088034
L3.IWM_rtn   0.032298 -0.075135
L4.IMCV_rtn  0.043980  0.005421
L4.IWM_rtn  -0.051530 -0.048035
L5.IMCV_rtn  0.012593  0.066492
L5.IWM_rtn  -0.051670 -0.114680",,,,,,
IVV_ACWI,VECM,,,1.0,6.0,"[[-0.01027406]
 [-0.00413949]]","[[ 1.        ]
 [-0.46881273]]","[[-0.07227279  0.04216691 -0.17786633  0.40646071 -0.01721794  0.04236483
  -0.04351161  0.05734007  0.08573666 -0.38779085  0.02259857 -0.04173298]
 [ 0.01631505 -0.09902275 -0.04489893  0.0930226   0.00934408 -0.04252193
  -0.0239038   0.04390516  0.047395   -0.16540644  0.02749012 -0.07855657]]","[[6.50874671e-01 6.65969598e-04]
 [2.61471316e-01 2.54145873e-04]]"
IWB_ACWI,VECM,,,1.0,5.0,"[[-0.0111119 ]
 [-0.00791258]]","[[ 1.        ]
 [-0.40063677]]","[[-0.05402996  0.01541713 -0.18399371  0.23529298  0.02034467 -0.02554891
  -0.06477766  0.05387923  0.08715597 -0.21091656]
 [ 0.03966759 -0.11053793 -0.08384974  0.09386378  0.03451204 -0.06566514
  -0.0620327   0.06930895  0.09347836 -0.17334454]]","[[3.28312527e-01 3.81511996e-04]
 [2.31924790e-01 2.59270658e-04]]"
IWM_ACWI,VAR,10.0,"               IWM_rtn  ACWI_rtn
const         0.000479  0.000191
L1.IWM_rtn   -0.080689  0.035645
L1.ACWI_rtn   0.003827 -0.113742
L2.IWM_rtn   -0.051233  0.014929
L2.ACWI_rtn   0.048773 -0.061684
L3.IWM_rtn   -0.103349 -0.085608
L3.ACWI_rtn   0.138885  0.083190
L4.IWM_rtn   -0.035780 -0.056524
L4.ACWI_rtn  -0.008498  0.032292
L5.IWM_rtn   -0.003709  0.010553
L5.ACWI_rtn  -0.073689 -0.063116
L6.IWM_rtn    0.000923  0.059031
L6.ACWI_rtn   0.028482 -0.048843
L7.IWM_rtn   -0.010155  0.006990
L7.ACWI_rtn   0.004289 -0.025331
L8.IWM_rtn    0.045832 -0.039282
L8.ACWI_rtn  -0.036047  0.061377
L9.IWM_rtn    0.084562  0.053265
L9.ACWI_rtn  -0.128314 -0.087307
L10.IWM_rtn   0.130909  0.086863
L10.ACWI_rtn -0.098074 -0.076362",,,,,,
IWM_SCZ,VAR,5.0,"             IWM_rtn   SCZ_rtn
const       0.000540  0.000216
L1.IWM_rtn -0.065846  0.010999
L1.SCZ_rtn -0.022468 -0.119257
L2.IWM_rtn -0.135326 -0.045620
L2.SCZ_rtn  0.167259  0.090102
L3.IWM_rtn -0.030658 -0.031799
L3.SCZ_rtn  0.049522  0.009819
L4.IWM_rtn -0.035275  0.011445
L4.SCZ_rtn -0.013441 -0.051319
L5.IWM_rtn -0.047313  0.011049
L5.SCZ_rtn -0.021441 -0.025435",,,,,,
IWM_SUSA,VAR,5.0,"              IWM_rtn  SUSA_rtn
const        0.000435  0.000304
L1.IWM_rtn  -0.031232  0.121561
L1.SUSA_rtn -0.072231 -0.190912
L2.IWM_rtn  -0.078950  0.025792
L2.SUSA_rtn  0.089620 -0.084078
L3.IWM_rtn  -0.153504 -0.064326
L3.SUSA_rtn  0.223854  0.075214
L4.IWM_rtn  -0.031047 -0.053872
L4.SUSA_rtn -0.025841  0.029896
L5.IWM_rtn  -0.063925 -0.025990
L5.SUSA_rtn  0.010406 -0.017290",,,,,,
IWM_WOOD,VAR,10.0,"               IWM_rtn  WOOD_rtn
const         0.000597  0.000248
L1.IWM_rtn   -0.078978  0.203634
L1.WOOD_rtn   0.000628 -0.194458
L2.IWM_rtn   -0.138513 -0.103862
L2.WOOD_rtn   0.143331  0.078538
L3.IWM_rtn   -0.104086 -0.093875
L3.WOOD_rtn   0.114773  0.068727
L4.IWM_rtn   -0.109521 -0.115360
L4.WOOD_rtn   0.068714  0.086189
L5.IWM_rtn   -0.040357 -0.054933
L5.WOOD_rtn  -0.027120  0.038266
L6.IWM_rtn   -0.000068 -0.001221
L6.WOOD_rtn   0.027251  0.034772
L7.IWM_rtn   -0.047048 -0.006057
L7.WOOD_rtn   0.041176  0.017618
L8.IWM_rtn   -0.009014 -0.076009
L8.WOOD_rtn   0.024125  0.098455
L9.IWM_rtn    0.027765  0.069101
L9.WOOD_rtn  -0.055851 -0.081577
L10.IWM_rtn   0.114103  0.105852
L10.WOOD_rtn -0.064133 -0.056322",,,,,,
IWV_ACWI,VECM,,,1.0,6.0,"[[-0.01133154]
 [-0.00771363]]","[[ 1.        ]
 [-0.42104829]]","[[-0.07604012  0.03741604 -0.12242895  0.16558142 -0.00691545  0.0118009
  -0.04169853  0.0234655   0.06366154 -0.19953043  0.04372229 -0.05799961]
 [ 0.02900767 -0.10212841 -0.0432352   0.04328591  0.02312135 -0.05528899
  -0.04875088  0.05758218  0.06527673 -0.14400877  0.06089963 -0.1025656 ]]","[[3.61907719e-01 4.12773061e-04]
 [2.43078068e-01 2.68609426e-04]]"
IXP_IYH,VAR,9.0,"             IXP_rtn   IYH_rtn
const       0.000257  0.000421
L1.IXP_rtn -0.088305 -0.051028
L1.IYH_rtn -0.073735 -0.008120
L2.IXP_rtn -0.051446 -0.029760
L2.IYH_rtn -0.053800 -0.042868
L3.IXP_rtn -0.014856  0.019413
L3.IYH_rtn  0.008253  0.011963
L4.IXP_rtn -0.032994 -0.004382
L4.IYH_rtn -0.010477 -0.029820
L5.IXP_rtn -0.086619 -0.085472
L5.IYH_rtn  0.026357  0.039592
L6.IXP_rtn -0.057212 -0.009097
L6.IYH_rtn  0.008757  0.015140
L7.IXP_rtn -0.019185  0.000080
L7.IYH_rtn  0.007841 -0.020256
L8.IXP_rtn  0.087886  0.070048
L8.IYH_rtn -0.069205 -0.064878
L9.IXP_rtn  0.039567  0.030964
L9.IYH_rtn -0.077122 -0.079610",,,,,,
IYH_ACWI,VAR,3.0,"              IYH_rtn  ACWI_rtn
const        0.000479  0.000239
L1.IYH_rtn  -0.030823 -0.078287
L1.ACWI_rtn -0.025817 -0.028095
L2.IYH_rtn  -0.090302 -0.109857
L2.ACWI_rtn  0.018266  0.023063
L3.IYH_rtn   0.013274  0.032004
L3.ACWI_rtn  0.024290 -0.023509",,,,,,
IYH_TOK,VAR,4.0,"             IYH_rtn   TOK_rtn
const       0.000453  0.000145
L1.IYH_rtn -0.063793  0.260427
L1.TOK_rtn  0.011868 -0.167042
L2.IYH_rtn -0.095323 -0.066931
L2.TOK_rtn  0.025240 -0.023418
L3.IYH_rtn  0.057893  0.029394
L3.TOK_rtn -0.030486 -0.054358
L4.IYH_rtn -0.006811  0.051853
L4.TOK_rtn -0.020490 -0.092099",,,,,,
IYK_ACWI,VAR,3.0,"              IYK_rtn  ACWI_rtn
const        0.000375  0.000214
L1.IYK_rtn  -0.010703  0.110903
L1.ACWI_rtn -0.045497 -0.143224
L2.IYK_rtn  -0.200827 -0.246829
L2.ACWI_rtn  0.081126  0.110261
L3.IYK_rtn   0.023178  0.007697
L3.ACWI_rtn  0.005274 -0.007108",,,,,,
REM_SUSA,VECM,,,1.0,10.0,"[[-0.01516838]
 [ 0.00035836]]","[[ 1.       ]
 [-2.3214668]]","[[ 0.03773085 -0.27200691  0.01126304 -0.02672602 -0.04831656  0.14191402
  -0.01911392 -0.01824005 -0.00642695 -0.15508643  0.01043609 -0.12072504
   0.05101048 -0.07105997 -0.04215449  0.1235473   0.10978951 -0.33920789
   0.09048691 -0.09722761]
 [-0.00187157 -0.02901045  0.00509221 -0.04500206 -0.00647504  0.00552784
  -0.00538408 -0.024216   -0.00411699 -0.02530764  0.0066632  -0.02419023
  -0.00040594 -0.01658552 -0.00081355  0.01420412  0.00760629 -0.03283886
   0.01023622 -0.00213779]]","[[ 4.68050331e-01 -6.00309465e-04]
 [-2.59568894e-02  3.19922739e-05]]"
RXI_WOOD,VAR,9.0,"              RXI_rtn  WOOD_rtn
const        0.000534  0.000178
L1.RXI_rtn  -0.014865  0.252824
L1.WOOD_rtn -0.001792 -0.217647
L2.RXI_rtn   0.018245  0.130150
L2.WOOD_rtn -0.037069 -0.110574
L3.RXI_rtn  -0.026858  0.032720
L3.WOOD_rtn -0.015808 -0.013778
L4.RXI_rtn  -0.085738 -0.120169
L4.WOOD_rtn  0.061509  0.097576
L5.RXI_rtn  -0.046006 -0.080725
L5.WOOD_rtn  0.018251  0.053796
L6.RXI_rtn  -0.000626 -0.022549
L6.WOOD_rtn  0.018229  0.041593
L7.RXI_rtn  -0.090710 -0.070878
L7.WOOD_rtn  0.058611  0.051963
L8.RXI_rtn   0.032143 -0.047397
L8.WOOD_rtn -0.015783  0.069755
L9.RXI_rtn   0.013476  0.079822
L9.WOOD_rtn -0.034819 -0.064849",,,,,,
