ETF_Ticker,Date,ETF Price
B2QWCY,2009-01-16,18.124851
B2QWCY,2013-01-16,32.673847
B2QWCY,2014-01-16,44.42891
B2QWCY,2015-01-16,46.790424
B2QWCY,2018-01-16,62.71327
B2QWCY,2019-01-16,57.475075
B2QWCY,2020-01-16,67.94306
B2QWCY,2012-01-17,28.042467
B2QWCY,2013-01-17,32.801754
B2QWCY,2014-01-17,43.905895
B2QWCY,2017-01-17,56.22961
B2QWCY,2018-01-17,62.977463
B2QWCY,2019-01-17,55.32867
B2QWCY,2020-01-17,68.17424
B2QWCY,2023-01-17,77.608734
B2QWCY,2011-01-18,28.050789
B2QWCY,2012-01-18,27.90954
B2QWCY,2013-01-18,32.89086
B2QWCY,2017-01-18,56.28414
B2QWCY,2018-01-18,62.913765
B2QWCY,2019-01-18,55.11923
B2QWCY,2022-01-18,91.52741
B2QWCY,2023-01-18,76.697105
B2QWCY,2010-01-19,22.903696
B2QWCY,2011-01-19,28.095293
B2QWCY,2012-01-19,28.249651
B2QWCY,2016-01-19,45.817017
B2QWCY,2017-01-19,56.58276
B2QWCY,2018-01-19,63.044643
B2QWCY,2021-01-19,74.11584
B2QWCY,2022-01-19,90.17531
B2QWCY,2023-01-19,76.59198
B2QWCY,2009-01-20,17.98472
B2QWCY,2010-01-20,22.892305
B2QWCY,2011-01-20,27.872091
B2QWCY,2012-01-20,28.13398
B2QWCY,2015-01-20,46.738518
B2QWCY,2016-01-20,45.841385
B2QWCY,2017-01-20,56.136456
B2QWCY,2021-01-20,74.74181
B2QWCY,2022-01-20,87.103264
B2QWCY,2023-01-20,76.63957
B2QWCY,2009-01-21,17.56032
B2QWCY,2010-01-21,23.012335
B2QWCY,2011-01-21,27.69725
B2QWCY,2014-01-21,44.0441
B2QWCY,2015-01-21,45.810078
B2QWCY,2016-01-21,45.116077
B2QWCY,2020-01-21,68.55029
B2QWCY,2021-01-21,73.03748
B2QWCY,2022-01-21,90.14641
B2QWCY,2009-01-22,17.137348
B2QWCY,2010-01-22,22.991344
B2QWCY,2013-01-22,32.76209
B2QWCY,2014-01-22,43.809162
B2QWCY,2015-01-22,45.627064
B2QWCY,2016-01-22,43.699776
B2QWCY,2018-01-22,62.838425
B2QWCY,2019-01-22,54.038784
B2QWCY,2020-01-22,68.26339
B2QWCY,2021-01-22,73.82279
B2QWCY,2009-01-23,17.119492
B2QWCY,2012-01-23,28.688742
B2QWCY,2013-01-23,32.580185
B2QWCY,2014-01-23,44.13791
B2QWCY,2015-01-23,44.81218
B2QWCY,2017-01-23,56.592773
B2QWCY,2018-01-23,63.33576
B2QWCY,2019-01-23,54.915855
B2QWCY,2020-01-23,68.360374
B2QWCY,2023-01-23,78.2972
B2QWCY,2011-01-24,27.991264
B2QWCY,2012-01-24,28.644754
B2QWCY,2013-01-24,32.889465
B2QWCY,2014-01-24,43.973568
B2QWCY,2017-01-24,56.0699
B2QWCY,2018-01-24,63.025856
B2QWCY,2019-01-24,55.665928
B2QWCY,2020-01-24,68.21854
B2QWCY,2022-01-24,91.476906
B2QWCY,2023-01-24,76.40821
B2QWCY,2010-01-25,22.929209
B2QWCY,2011-01-25,28.302593
B2QWCY,2012-01-25,28.692488
B2QWCY,2013-01-25,32.753582
B2QWCY,2016-01-25,43.970474
B2QWCY,2017-01-25,57.087315
B2QWCY,2018-01-25,62.970577
B2QWCY,2019-01-25,56.42685
B2QWCY,2021-01-25,75.04433
B2QWCY,2022-01-25,92.68259
B2QWCY,2023-01-25,76.96408
B2QWCY,2009-01-26,16.450441
B2QWCY,2010-01-26,22.827827
B2QWCY,2011-01-26,28.267681
B2QWCY,2012-01-26,28.6823
B2QWCY,2015-01-26,44.67846
B2QWCY,2016-01-26,43.72324
B2QWCY,2017-01-26,56.444355
B2QWCY,2018-01-26,63.041576
B2QWCY,2021-01-26,74.79593
B2QWCY,2022-01-26,92.50581
B2QWCY,2023-01-26,76.55145
B2QWCY,2009-01-27,16.086575
B2QWCY,2010-01-27,23.106174
B2QWCY,2011-01-27,28.331705
B2QWCY,2012-01-27,28.87701
B2QWCY,2014-01-27,43.677666
B2QWCY,2015-01-27,45.648674
B2QWCY,2016-01-27,42.961033
B2QWCY,2017-01-27,56.322468
B2QWCY,2020-01-27,67.9017
B2QWCY,2021-01-27,73.8295
B2QWCY,2022-01-27,94.02439
B2QWCY,2023-01-27,77.10625
B2QWCY,2009-01-28,16.6092
B2QWCY,2010-01-28,22.825277
B2QWCY,2011-01-28,28.44261
B2QWCY,2013-01-28,32.77305
