,model_type,k_ar,params,coint_rank,k_ar_diff,alpha,beta,gamma,det_coef
EWT_IJH,VAR,9.0,"             EWT_rtn   IJH_rtn
const       0.000304  0.000410
L1.EWT_rtn  0.000251  0.030132
L1.IJH_rtn -0.144903 -0.093842
L2.EWT_rtn -0.035930 -0.002163
L2.IJH_rtn  0.040966  0.025890
L3.EWT_rtn  0.017219  0.020209
L3.IJH_rtn  0.012877 -0.025641
L4.EWT_rtn -0.005087  0.053356
L4.IJH_rtn -0.046947 -0.088035
L5.EWT_rtn -0.047380 -0.041824
L5.IJH_rtn  0.017424  0.023464
L6.EWT_rtn -0.018710  0.011499
L6.IJH_rtn -0.016853 -0.059315
L7.EWT_rtn -0.008365 -0.021541
L7.IJH_rtn  0.017534  0.063819
L8.EWT_rtn -0.059599 -0.067158
L8.IJH_rtn  0.063382  0.035658
L9.EWT_rtn  0.032759  0.010946
L9.IJH_rtn -0.037212  0.024528",,,,,,
EWT_IJJ,VAR,9.0,"             EWT_rtn   IJJ_rtn
const       0.000300  0.000379
L1.EWT_rtn -0.006761  0.024738
L1.IJJ_rtn -0.134349 -0.098120
L2.EWT_rtn -0.028492  0.003010
L2.IJJ_rtn  0.026939  0.019732
L3.EWT_rtn  0.014867  0.019150
L3.IJJ_rtn  0.019618 -0.021838
L4.EWT_rtn -0.012858  0.052339
L4.IJJ_rtn -0.035708 -0.083300
L5.EWT_rtn -0.037212 -0.039164
L5.IJJ_rtn -0.000153  0.017253
L6.EWT_rtn -0.021774  0.007098
L6.IJJ_rtn -0.010249 -0.045242
L7.EWT_rtn -0.009188 -0.021276
L7.IJJ_rtn  0.019552  0.069145
L8.EWT_rtn -0.058044 -0.067736
L8.IJJ_rtn  0.060285  0.040334
L9.EWT_rtn  0.032706  0.014203
L9.IJJ_rtn -0.034020  0.020765",,,,,,
EWT_IVE,VAR,8.0,"             EWT_rtn   IVE_rtn
const       0.000304  0.000309
L1.EWT_rtn  0.036022  0.040799
L1.IVE_rtn -0.229327 -0.134479
L2.EWT_rtn -0.020845  0.000438
L2.IVE_rtn  0.019616  0.002951
L3.EWT_rtn  0.007271  0.013470
L3.IVE_rtn  0.031110 -0.007270
L4.EWT_rtn -0.002349  0.038022
L4.IVE_rtn -0.057254 -0.071495
L5.EWT_rtn -0.037188 -0.022703
L5.IVE_rtn -0.000793 -0.008361
L6.EWT_rtn -0.008788  0.018483
L6.IVE_rtn -0.035443 -0.053377
L7.EWT_rtn -0.006216 -0.019547
L7.IVE_rtn  0.020088  0.071599
L8.EWT_rtn -0.059002 -0.043364
L8.IVE_rtn  0.074449  0.008027",,,,,,
EWT_IVV,VAR,9.0,"             EWT_rtn   IVV_rtn
const       0.000330  0.000401
L1.EWT_rtn  0.049175  0.054525
L1.IVV_rtn -0.248737 -0.167552
L2.EWT_rtn -0.020371 -0.000486
L2.IVV_rtn  0.015768 -0.008086
L3.EWT_rtn  0.006074  0.006515
L3.IVV_rtn  0.029255  0.000144
L4.EWT_rtn  0.004700  0.046967
L4.IVV_rtn -0.067140 -0.083696
L5.EWT_rtn -0.049884 -0.028135
L5.IVV_rtn  0.022206  0.006635
L6.EWT_rtn -0.001732  0.022616
L6.IVV_rtn -0.046297 -0.064579
L7.EWT_rtn -0.013987 -0.022636
L7.IVV_rtn  0.032924  0.064602
L8.EWT_rtn -0.056611 -0.033995
L8.IVV_rtn  0.065623 -0.008245
L9.EWT_rtn  0.028789  0.015300
L9.IVV_rtn -0.036400  0.021253",,,,,,
EWT_IWB,VAR,9.0,"             EWT_rtn   IWB_rtn
const       0.000328  0.000395
L1.EWT_rtn  0.043224  0.051500
L1.IWB_rtn -0.237068 -0.149321
L2.EWT_rtn -0.012747  0.005478
L2.IWB_rtn  0.005425 -0.012274
L3.EWT_rtn -0.001680 -0.000528
L3.IWB_rtn  0.044437  0.014418
L4.EWT_rtn  0.006331  0.049802
L4.IWB_rtn -0.069915 -0.091264
L5.EWT_rtn -0.053542 -0.030408
L5.IWB_rtn  0.027575  0.011608
L6.EWT_rtn  0.000097  0.025925
L6.IWB_rtn -0.048159 -0.073300
L7.EWT_rtn -0.013687 -0.027384
L7.IWB_rtn  0.031037  0.071319
L8.EWT_rtn -0.059248 -0.036236
L8.IWB_rtn  0.068596 -0.003462
L9.EWT_rtn  0.033769  0.016981
L9.IWB_rtn -0.044975  0.023751",,,,,,
EWT_IWV,VAR,9.0,"             EWT_rtn   IWV_rtn
const       0.000326  0.000399
L1.EWT_rtn  0.041649  0.054821
L1.IWV_rtn -0.229419 -0.162897
L2.EWT_rtn -0.023255 -0.002301
L2.IWV_rtn  0.021857  0.003571
L3.EWT_rtn  0.002896  0.008080
L3.IWV_rtn  0.034863  0.001214
L4.EWT_rtn  0.008318  0.044578
L4.IWV_rtn -0.071238 -0.085938
L5.EWT_rtn -0.051016 -0.027488
L5.IWV_rtn  0.022598  0.007047
L6.EWT_rtn -0.009025  0.015184
L6.IWV_rtn -0.033170 -0.056389
L7.EWT_rtn -0.006058 -0.013657
L7.IWV_rtn  0.017033  0.052230
L8.EWT_rtn -0.058970 -0.038107
L8.IWV_rtn  0.068437 -0.000271
L9.EWT_rtn  0.034382  0.007939
L9.IWV_rtn -0.043978  0.026068",,,,,,
EZU_THD,VECM,,,1.0,2.0,"[[-0.00758795]
 [-0.00898649]]","[[ 1.        ]
 [-0.01604051]]","[[-0.02829303 -0.03291251 -0.00986984  0.01576291]
 [-0.08896306 -0.03978955  0.09390917 -0.0106301 ]]","[[2.25556496e-01 2.57312583e-05]
 [3.10460337e-01 1.37489288e-05]]"
IDU_IVV,VAR,10.0,"              IDU_rtn   IVV_rtn
const        0.000286  0.000403
L1.IDU_rtn  -0.065130 -0.062153
L1.IVV_rtn  -0.035842 -0.077275
L2.IDU_rtn  -0.025803 -0.013241
L2.IVV_rtn   0.034243 -0.005056
L3.IDU_rtn  -0.062782 -0.036373
L3.IVV_rtn   0.071040  0.032649
L4.IDU_rtn  -0.027474 -0.046538
L4.IVV_rtn  -0.017344 -0.008235
L5.IDU_rtn   0.004348 -0.019603
L5.IVV_rtn   0.012118 -0.010037
L6.IDU_rtn  -0.001912  0.017899
L6.IVV_rtn  -0.042321 -0.051205
L7.IDU_rtn   0.007795 -0.030856
L7.IVV_rtn   0.008785  0.060271
L8.IDU_rtn   0.020235  0.006253
L8.IVV_rtn  -0.034681 -0.046023
L9.IDU_rtn   0.005831  0.005800
L9.IVV_rtn   0.028355  0.040290
L10.IDU_rtn -0.056779 -0.063867
L10.IVV_rtn  0.039900  0.054385",,,,,,
IEV_THD,VAR,3.0,"             IEV_rtn   THD_rtn
const       0.000092  0.000283
L1.IEV_rtn -0.022367 -0.055746
L1.THD_rtn -0.086546 -0.097009
L2.IEV_rtn -0.031700  0.045527
L2.THD_rtn  0.031041 -0.014969
L3.IEV_rtn  0.012338  0.062011
L3.THD_rtn -0.003548 -0.006941",,,,,,
IFGL_IHE,VAR,8.0,"             IFGL_rtn   IHE_rtn
const       -0.000088  0.000468
L1.IFGL_rtn -0.004103 -0.002670
L1.IHE_rtn  -0.071600 -0.049221
L2.IFGL_rtn  0.065175  0.022296
L2.IHE_rtn  -0.055573 -0.035901
L3.IFGL_rtn  0.016770  0.013500
L3.IHE_rtn   0.042270  0.023682
L4.IFGL_rtn  0.018198  0.028487
L4.IHE_rtn  -0.033486 -0.043070
L5.IFGL_rtn -0.054203 -0.039709
L5.IHE_rtn   0.051046  0.025931
L6.IFGL_rtn -0.049208 -0.000872
L6.IHE_rtn   0.000241 -0.043105
L7.IFGL_rtn -0.022582 -0.010406
L7.IHE_rtn  -0.021663  0.029926
L8.IFGL_rtn  0.017890  0.026323
L8.IHE_rtn  -0.009355 -0.075434",,,,,,
